period,product_name,total_cost,avg_quarterly,avg_diff,avg_change,sale_performance
2011-Q3,Cabin Bag Vintage Retrospot,1249.17,914.4,334.77,Above Avg,Increased
2011-Q4,Cabin Bag Vintage Retrospot,898.3,914.4,-16.1,Below Avg,Decreased
2010-Q4,Cake Plate Lovebird Pink,258.42,370.26,-111.84,Below Avg,First quarter
2011-Q1,Cake Plate Lovebird Pink,1011.4,370.26,641.14,Above Avg,Increased
2011-Q2,Cake Plate Lovebird Pink,353.37,370.26,-16.89,Below Avg,Decreased
2011-Q3,Cake Plate Lovebird Pink,89.22,370.26,-281.04,Below Avg,Decreased
2011-Q4,Cake Plate Lovebird Pink,138.9,370.26,-231.36,Below Avg,Increased
2010-Q4,Cake Plate Lovebird White,570.39,779.01,-208.62,Below Avg,First quarter
2011-Q1,Cake Plate Lovebird White,1551.33,779.01,772.32,Above Avg,Increased
2011-Q2,Cake Plate Lovebird White,714.18,779.01,-64.83,Below Avg,Decreased
2011-Q3,Cake Plate Lovebird White,531.75,779.01,-247.26,Below Avg,Decreased
2011-Q4,Cake Plate Lovebird White,527.4,779.01,-251.61,Below Avg,Decreased
2010-Q4,Cake Shop Sticker Sheet,11.05,12.11,-1.06,Below Avg,First quarter
2011-Q1,Cake Shop Sticker Sheet,12.75,12.11,0.64,Above Avg,Increased
2011-Q2,Cake Shop Sticker Sheet,14.45,12.11,2.34,Above Avg,Increased
2011-Q3,Cake Shop Sticker Sheet,10.2,12.11,-1.91,Below Avg,Decreased
2010-Q4,Cake Stand 3 Tier Magic Garden,348.15,630.78,-282.63,Below Avg,First quarter
2011-Q1,Cake Stand 3 Tier Magic Garden,1400.4,630.78,769.62,Above Avg,Increased
2011-Q2,Cake Stand 3 Tier Magic Garden,263.85,630.78,-366.93,Below Avg,Decreased
2011-Q3,Cake Stand 3 Tier Magic Garden,636.45,630.78,5.67,Above Avg,Increased
2011-Q4,Cake Stand 3 Tier Magic Garden,505.05,630.78,-125.73,Below Avg,Decreased
2010-Q4,Cake Stand Lovebird 2 Tier Pink,60.18,216.93,-156.75,Below Avg,First quarter
2011-Q1,Cake Stand Lovebird 2 Tier Pink,350.75,216.93,133.82,Above Avg,Increased
2011-Q2,Cake Stand Lovebird 2 Tier Pink,238.92,216.93,21.99,Above Avg,Decreased
2011-Q3,Cake Stand Lovebird 2 Tier Pink,129.35,216.93,-87.58,Below Avg,Decreased
2011-Q4,Cake Stand Lovebird 2 Tier Pink,305.44,216.93,88.51,Above Avg,Increased
2010-Q4,Cake Stand Lovebird 2 Tier White,10.43,329.55,-319.12,Below Avg,First quarter
2011-Q1,Cake Stand Lovebird 2 Tier White,739.64,329.55,410.09,Above Avg,Increased
2011-Q2,Cake Stand Lovebird 2 Tier White,119.4,329.55,-210.15,Below Avg,Decreased
2011-Q3,Cake Stand Lovebird 2 Tier White,278.66,329.55,-50.89,Below Avg,Increased
2011-Q4,Cake Stand Lovebird 2 Tier White,499.62,329.55,170.07,Above Avg,Increased
2010-Q4,Cake Stand Victorian Filigree Med,286.17,381.41,-95.24,Below Avg,First quarter
2011-Q1,Cake Stand Victorian Filigree Med,1065.14,381.41,683.73,Above Avg,Increased
2011-Q2,Cake Stand Victorian Filigree Med,542.25,381.41,160.84,Above Avg,Decreased
2011-Q3,Cake Stand Victorian Filigree Med,6.75,381.41,-374.66,Below Avg,Decreased
2011-Q4,Cake Stand Victorian Filigree Med,6.75,381.41,-374.66,Below Avg,Equal
2010-Q4,Cake Stand Victorian Filigree Small,50.52,281.15,-230.63,Below Avg,First quarter
2011-Q1,Cake Stand Victorian Filigree Small,195.25,281.15,-85.9,Below Avg,Increased
2011-Q2,Cake Stand Victorian Filigree Small,200.76,281.15,-80.39,Below Avg,Increased
2011-Q3,Cake Stand Victorian Filigree Small,631.5,281.15,350.35,Above Avg,Increased
2011-Q4,Cake Stand Victorian Filigree Small,327.7,281.15,46.55,Above Avg,Decreased
2010-Q4,Cake Stand White Two Tier Lace,110.48,490.88,-380.4,Below Avg,First quarter
2011-Q1,Cake Stand White Two Tier Lace,868.53,490.88,377.65,Above Avg,Increased
2011-Q2,Cake Stand White Two Tier Lace,415.76,490.88,-75.12,Below Avg,Decreased
2011-Q3,Cake Stand White Two Tier Lace,548.36,490.88,57.48,Above Avg,Increased
2011-Q4,Cake Stand White Two Tier Lace,511.26,490.88,20.38,Above Avg,Decreased
2010-Q4,Cakes And Bows Gift Tape,75.96,82.75,-6.79,Below Avg,First quarter
2011-Q1,Cakes And Bows Gift Tape,121.15,82.75,38.4,Above Avg,Increased
2011-Q2,Cakes And Bows Gift Tape,103.51,82.75,20.76,Above Avg,Decreased
2011-Q3,Cakes And Bows Gift Tape,76.06,82.75,-6.69,Below Avg,Decreased
2011-Q4,Cakes And Bows Gift Tape,37.08,82.75,-45.67,Below Avg,Decreased
2010-Q4,Cakes And Rabbits Design Flannel,8.34,26.9,-18.56,Below Avg,First quarter
2011-Q1,Cakes And Rabbits Design Flannel,21.74,26.9,-5.16,Below Avg,Increased
2011-Q2,Cakes And Rabbits Design Flannel,46.51,26.9,19.61,Above Avg,Increased
2011-Q3,Cakes And Rabbits Design Flannel,25.59,26.9,-1.31,Below Avg,Decreased
2011-Q4,Cakes And Rabbits Design Flannel,32.31,26.9,5.41,Above Avg,Increased
2010-Q4,Calendar Family Favourites,150.49,110.12,40.37,Above Avg,First quarter
2011-Q1,Calendar Family Favourites,29.39,110.12,-80.73,Below Avg,Decreased
2011-Q2,Calendar Family Favourites,70.69,110.12,-39.43,Below Avg,Increased
2011-Q3,Calendar Family Favourites,109.05,110.12,-1.07,Below Avg,Increased
2011-Q4,Calendar Family Favourites,190.98,110.12,80.86,Above Avg,Increased
2010-Q4,Calendar In Season Design,100.35,300.46,-200.11,Below Avg,First quarter
2011-Q1,Calendar In Season Design,233.05,300.46,-67.41,Below Avg,Increased
2011-Q2,Calendar In Season Design,123.68,300.46,-176.78,Below Avg,Decreased
2011-Q3,Calendar In Season Design,185.55,300.46,-114.91,Below Avg,Increased
2011-Q4,Calendar In Season Design,859.66,300.46,559.2,Above Avg,Increased
2010-Q4,Calendar Paper Cut Design,463.48,1092.27,-628.79,Below Avg,First quarter
2011-Q1,Calendar Paper Cut Design,1126.58,1092.27,34.31,Above Avg,Increased
2011-Q2,Calendar Paper Cut Design,1090.84,1092.27,-1.43,Below Avg,Decreased
2011-Q3,Calendar Paper Cut Design,1445.85,1092.27,353.58,Above Avg,Increased
2011-Q4,Calendar Paper Cut Design,1334.61,1092.27,242.34,Above Avg,Decreased
2010-Q4,Calendar Sign,45.12,69.72,-24.6,Below Avg,First quarter
2011-Q1,Calendar Sign,52.58,69.72,-17.14,Below Avg,Increased
2011-Q2,Calendar Sign,63.75,69.72,-5.97,Below Avg,Increased
2011-Q3,Calendar Sign,89.8,69.72,20.08,Above Avg,Increased
2011-Q4,Calendar Sign,97.34,69.72,27.62,Above Avg,Increased
2010-Q4,Camouflage Ear Muff Headphones,148.43,73.62,74.81,Above Avg,First quarter
2011-Q1,Camouflage Ear Muff Headphones,49.22,73.62,-24.4,Below Avg,Decreased
2011-Q2,Camouflage Ear Muff Headphones,38.24,73.62,-35.38,Below Avg,Decreased
2011-Q3,Camouflage Ear Muff Headphones,27.45,73.62,-46.17,Below Avg,Decreased
2011-Q4,Camouflage Ear Muff Headphones,104.74,73.62,31.12,Above Avg,Increased
2010-Q4,Camphor Wood Portobello Mushroom,18.77,49.37,-30.6,Below Avg,First quarter
2011-Q1,Camphor Wood Portobello Mushroom,47.12,49.37,-2.25,Below Avg,Increased
2011-Q2,Camphor Wood Portobello Mushroom,72.22,49.37,22.85,Above Avg,Increased
2011-Q3,Camphor Wood Portobello Mushroom,24.8,49.37,-24.57,Below Avg,Decreased
2011-Q4,Camphor Wood Portobello Mushroom,83.92,49.37,34.55,Above Avg,Increased
2011-Q2,Candle Holder Silver Madeline,39.6,108.39,-68.79,Below Avg,First quarter
2011-Q3,Candle Holder Silver Madeline,104.09,108.39,-4.3,Below Avg,Increased
2011-Q4,Candle Holder Silver Madeline,181.47,108.39,73.08,Above Avg,Increased
2010-Q4,Candle Plate Lace White,157.09,98.62,58.47,Above Avg,First quarter
2011-Q1,Candle Plate Lace White,162.11,98.62,63.49,Above Avg,Increased
2011-Q2,Candle Plate Lace White,48.03,98.62,-50.59,Below Avg,Decreased
2011-Q3,Candle Plate Lace White,76.22,98.62,-22.4,Below Avg,Increased
2011-Q4,Candle Plate Lace White,49.65,98.62,-48.97,Below Avg,Decreased
2010-Q4,Candy Shop Sticker Sheet,66.59,35.89,30.7,Above Avg,First quarter
2011-Q1,Candy Shop Sticker Sheet,56.06,35.89,20.17,Above Avg,Decreased
2011-Q2,Candy Shop Sticker Sheet,27.98,35.89,-7.91,Below Avg,Decreased
2011-Q3,Candy Shop Sticker Sheet,22.95,35.89,-12.94,Below Avg,Decreased
2011-Q4,Candy Shop Sticker Sheet,5.88,35.89,-30.01,Below Avg,Decreased
2011-Q1,Candy Spot Bunny,8.85,12.78,-3.93,Below Avg,First quarter
2011-Q3,Candy Spot Bunny,5.9,12.78,-6.88,Below Avg,Decreased
2011-Q4,Candy Spot Bunny,23.6,12.78,10.82,Above Avg,Increased
2010-Q4,Candy Spot Egg Warmer Hare,5.02,95.04,-90.02,Below Avg,First quarter
2011-Q1,Candy Spot Egg Warmer Hare,291.45,95.04,196.41,Above Avg,Increased
2011-Q2,Candy Spot Egg Warmer Hare,125.71,95.04,30.67,Above Avg,Decreased
2011-Q3,Candy Spot Egg Warmer Hare,24.9,95.04,-70.14,Below Avg,Decreased
2011-Q4,Candy Spot Egg Warmer Hare,28.1,95.04,-66.94,Below Avg,Increased
2010-Q4,Candy Spot Egg Warmer Rabbit,11.01,48.43,-37.42,Below Avg,First quarter
2011-Q1,Candy Spot Egg Warmer Rabbit,124.61,48.43,76.18,Above Avg,Increased
2011-Q2,Candy Spot Egg Warmer Rabbit,51.1,48.43,2.67,Above Avg,Decreased
2011-Q3,Candy Spot Egg Warmer Rabbit,11.75,48.43,-36.68,Below Avg,Decreased
2011-Q4,Candy Spot Egg Warmer Rabbit,43.66,48.43,-4.77,Below Avg,Increased
2010-Q4,Candy Spot Hand Bag,12.51,106.13,-93.62,Below Avg,First quarter
2011-Q1,Candy Spot Hand Bag,97.85,106.13,-8.28,Below Avg,Increased
2011-Q2,Candy Spot Hand Bag,115.15,106.13,9.02,Above Avg,Increased
2011-Q3,Candy Spot Hand Bag,56.49,106.13,-49.64,Below Avg,Decreased
2011-Q4,Candy Spot Hand Bag,248.63,106.13,142.5,Above Avg,Increased
2010-Q4,Candystuft Artificial Flower,1.45,101.69,-100.24,Below Avg,First quarter
2011-Q1,Candystuft Artificial Flower,116,101.69,14.31,Above Avg,Increased
2011-Q2,Candystuft Artificial Flower,133.95,101.69,32.26,Above Avg,Increased
2011-Q3,Candystuft Artificial Flower,127.6,101.69,25.91,Above Avg,Decreased
2011-Q4,Candystuft Artificial Flower,129.45,101.69,27.76,Above Avg,Increased
2010-Q4,Cannabis Leaf Bead Curtain,20.4,15.3,5.1,Above Avg,First quarter
2011-Q3,Cannabis Leaf Bead Curtain,10.2,15.3,-5.1,Below Avg,Decreased
2011-Q2,Capiz Chandelier,29.95,29.95,0,Avg,First quarter
2010-Q4,Caravan Square Tissue Box,43.81,157.87,-114.06,Below Avg,First quarter
2011-Q1,Caravan Square Tissue Box,175.18,157.87,17.31,Above Avg,Increased
2011-Q2,Caravan Square Tissue Box,37.46,157.87,-120.41,Below Avg,Decreased
2011-Q3,Caravan Square Tissue Box,269.55,157.87,111.68,Above Avg,Increased
2011-Q4,Caravan Square Tissue Box,263.34,157.87,105.47,Above Avg,Decreased
2010-Q4,Card,38.68,39.66,-0.98,Below Avg,First quarter
2011-Q1,Card,56.98,39.66,17.32,Above Avg,Increased
2011-Q2,Card,47.85,39.66,8.19,Above Avg,Decreased
2011-Q3,Card,15.12,39.66,-24.54,Below Avg,Decreased
2010-Q4,Card Billboard Font,113.49,437.56,-324.07,Below Avg,First quarter
2011-Q1,Card Billboard Font,587.24,437.56,149.68,Above Avg,Increased
2011-Q2,Card Billboard Font,498.74,437.56,61.18,Above Avg,Decreased
2011-Q3,Card Billboard Font,572.92,437.56,135.36,Above Avg,Increased
2011-Q4,Card Billboard Font,415.41,437.56,-22.15,Below Avg,Decreased
2010-Q4,Card Birthday Cowboy,26.96,282.14,-255.18,Below Avg,First quarter
2011-Q1,Card Birthday Cowboy,419.57,282.14,137.43,Above Avg,Increased
2011-Q2,Card Birthday Cowboy,373.22,282.14,91.08,Above Avg,Decreased
2011-Q3,Card Birthday Cowboy,213.16,282.14,-68.98,Below Avg,Decreased
2011-Q4,Card Birthday Cowboy,377.78,282.14,95.64,Above Avg,Increased
2010-Q4,Card Cat And Tree,65.45,141.43,-75.98,Below Avg,First quarter
2011-Q1,Card Cat And Tree,226.47,141.43,85.04,Above Avg,Increased
2011-Q2,Card Cat And Tree,147.7,141.43,6.27,Above Avg,Decreased
2011-Q3,Card Cat And Tree,172.72,141.43,31.29,Above Avg,Increased
2011-Q4,Card Cat And Tree,94.81,141.43,-46.62,Below Avg,Decreased
2010-Q4,Card Christmas Village,187.08,302.02,-114.94,Below Avg,First quarter
2011-Q1,Card Christmas Village,1.66,302.02,-300.36,Below Avg,Decreased
2011-Q2,Card Christmas Village,8.36,302.02,-293.66,Below Avg,Increased
2011-Q3,Card Christmas Village,349.62,302.02,47.6,Above Avg,Increased
2011-Q4,Card Christmas Village,963.36,302.02,661.34,Above Avg,Increased
2010-Q4,Card Circus Parade,71.04,272.18,-201.14,Below Avg,First quarter
2011-Q1,Card Circus Parade,368.13,272.18,95.95,Above Avg,Increased
2011-Q2,Card Circus Parade,335.37,272.18,63.19,Above Avg,Decreased
2011-Q3,Card Circus Parade,354.94,272.18,82.76,Above Avg,Increased
2011-Q4,Card Circus Parade,231.43,272.18,-40.75,Below Avg,Decreased
2010-Q4,Card Dog And Ball,20.22,107.16,-86.94,Below Avg,First quarter
2011-Q1,Card Dog And Ball,139.22,107.16,32.06,Above Avg,Increased
2011-Q2,Card Dog And Ball,129.26,107.16,22.1,Above Avg,Decreased
2011-Q3,Card Dog And Ball,179.13,107.16,71.97,Above Avg,Increased
2011-Q4,Card Dog And Ball,67.95,107.16,-39.21,Below Avg,Decreased
2010-Q4,Card Gingham Rose,21.01,219.22,-198.21,Below Avg,First quarter
2011-Q1,Card Gingham Rose,291.8,219.22,72.58,Above Avg,Increased
2011-Q2,Card Gingham Rose,273.43,219.22,54.21,Above Avg,Decreased
2011-Q3,Card Gingham Rose,399.15,219.22,179.93,Above Avg,Increased
2011-Q4,Card Gingham Rose,110.7,219.22,-108.52,Below Avg,Decreased
2011-Q4,Card Holder Love Bird Large,1389.8,1389.8,0,Avg,First quarter
2011-Q3,Card Holder Love Bird Small,29.05,669.32,-640.27,Below Avg,First quarter
2011-Q4,Card Holder Love Bird Small,1309.59,669.32,640.27,Above Avg,Increased
2010-Q4,Card I Love London,76.57,286.8,-210.23,Below Avg,First quarter
2011-Q1,Card I Love London,357.05,286.8,70.25,Above Avg,Increased
2011-Q2,Card I Love London,446.33,286.8,159.53,Above Avg,Increased
2011-Q3,Card I Love London,236.6,286.8,-50.2,Below Avg,Decreased
2011-Q4,Card I Love London,317.45,286.8,30.65,Above Avg,Increased
2010-Q4,Card Motorbike Santa,308.93,338.35,-29.42,Below Avg,First quarter
2011-Q1,Card Motorbike Santa,5.89,338.35,-332.46,Below Avg,Decreased
2011-Q2,Card Motorbike Santa,7.53,338.35,-330.82,Below Avg,Increased
2011-Q3,Card Motorbike Santa,284.55,338.35,-53.8,Below Avg,Increased
2011-Q4,Card Motorbike Santa,1084.86,338.35,746.51,Above Avg,Increased
2010-Q4,Card Party Games,34.55,177.69,-143.14,Below Avg,First quarter
2011-Q1,Card Party Games,202.75,177.69,25.06,Above Avg,Increased
2011-Q2,Card Party Games,200.77,177.69,23.08,Above Avg,Decreased
2011-Q3,Card Party Games,214.6,177.69,36.91,Above Avg,Increased
2011-Q4,Card Party Games,235.8,177.69,58.11,Above Avg,Increased
2010-Q4,Card Psychedelic Apples,49.61,223.77,-174.16,Below Avg,First quarter
2011-Q1,Card Psychedelic Apples,184.41,223.77,-39.36,Below Avg,Increased
2011-Q2,Card Psychedelic Apples,228.14,223.77,4.37,Above Avg,Increased
2011-Q3,Card Psychedelic Apples,421.06,223.77,197.29,Above Avg,Increased
2011-Q4,Card Psychedelic Apples,235.62,223.77,11.85,Above Avg,Decreased
2010-Q4,Card Suki Birthday,55,222.96,-167.96,Below Avg,First quarter
2011-Q1,Card Suki Birthday,355.98,222.96,133.02,Above Avg,Increased
2011-Q2,Card Suki Birthday,237.37,222.96,14.41,Above Avg,Decreased
2011-Q3,Card Suki Birthday,225.08,222.96,2.12,Above Avg,Decreased
2011-Q4,Card Suki Birthday,241.38,222.96,18.42,Above Avg,Increased
2010-Q4,Card Wedding Day,1.7,129.13,-127.43,Below Avg,First quarter
2011-Q1,Card Wedding Day,219.65,129.13,90.52,Above Avg,Increased
2011-Q2,Card Wedding Day,174.62,129.13,45.49,Above Avg,Decreased
2011-Q3,Card Wedding Day,226.99,129.13,97.86,Above Avg,Increased
2011-Q4,Card Wedding Day,22.68,129.13,-106.45,Below Avg,Decreased
2010-Q4,Cardholder Gingham Star,251.73,303.21,-51.48,Below Avg,First quarter
2011-Q1,Cardholder Gingham Star,5.1,303.21,-298.11,Below Avg,Decreased
2011-Q3,Cardholder Gingham Star,190.92,303.21,-112.29,Below Avg,Increased
2011-Q4,Cardholder Gingham Star,765.07,303.21,461.87,Above Avg,Increased
2010-Q4,Cardholder Holly Wreath Metal,120.48,753.41,-632.93,Below Avg,First quarter
2011-Q1,Cardholder Holly Wreath Metal,22.86,753.41,-730.55,Below Avg,Decreased
2011-Q3,Cardholder Holly Wreath Metal,566.54,753.41,-186.87,Below Avg,Increased
2011-Q4,Cardholder Holly Wreath Metal,2303.74,753.41,1550.34,Above Avg,Increased
2010-Q4,Carnival Bracelet,153,181.76,-28.76,Below Avg,First quarter
2011-Q1,Carnival Bracelet,252.3,181.76,70.54,Above Avg,Increased
2011-Q2,Carnival Bracelet,139.98,181.76,-41.78,Below Avg,Decreased
2010-Q4,Cartoon Pencil Sharpeners,7.19,56.66,-49.47,Below Avg,First quarter
2011-Q1,Cartoon Pencil Sharpeners,27.68,56.66,-28.98,Below Avg,Increased
2011-Q2,Cartoon Pencil Sharpeners,96.58,56.66,39.92,Above Avg,Increased
2011-Q3,Cartoon Pencil Sharpeners,82.5,56.66,25.84,Above Avg,Decreased
2011-Q4,Cartoon Pencil Sharpeners,69.36,56.66,12.7,Above Avg,Decreased
2010-Q4,Cat Bowl Vintage Cream,59.85,327.29,-267.44,Below Avg,First quarter
2011-Q1,Cat Bowl Vintage Cream,412.83,327.29,85.54,Above Avg,Increased
2011-Q2,Cat Bowl Vintage Cream,581.25,327.29,253.96,Above Avg,Increased
2011-Q3,Cat Bowl Vintage Cream,253.63,327.29,-73.66,Below Avg,Decreased
2011-Q4,Cat Bowl Vintage Cream,328.9,327.29,1.61,Above Avg,Increased
2010-Q4,Cd Wall Tidy,5.88,20.29,-14.41,Below Avg,First quarter
2011-Q1,Cd Wall Tidy,1.68,20.29,-18.61,Below Avg,Decreased
2011-Q2,Cd Wall Tidy,39.54,20.29,19.25,Above Avg,Increased
2011-Q3,Cd Wall Tidy,0.83,20.29,-19.46,Below Avg,Decreased
2011-Q4,Cd Wall Tidy,53.5,20.29,33.21,Above Avg,Increased
2010-Q4,Ceramic Bowl With Strawberry Design,79.67,269.95,-190.28,Below Avg,First quarter
2011-Q1,Ceramic Bowl With Strawberry Design,235.01,269.95,-34.94,Below Avg,Increased
2011-Q2,Ceramic Bowl With Strawberry Design,335.33,269.95,65.38,Above Avg,Increased
2011-Q3,Ceramic Bowl With Strawberry Design,406.7,269.95,136.75,Above Avg,Increased
2011-Q4,Ceramic Bowl With Strawberry Design,293.04,269.95,23.09,Above Avg,Decreased
2010-Q4,Ceramic Cake Bowl + Hanging Cakes,217.93,407.81,-189.88,Below Avg,First quarter
2011-Q1,Ceramic Cake Bowl + Hanging Cakes,697.24,407.81,289.43,Above Avg,Increased
2011-Q2,Ceramic Cake Bowl + Hanging Cakes,432.84,407.81,25.03,Above Avg,Decreased
2011-Q3,Ceramic Cake Bowl + Hanging Cakes,377.95,407.81,-29.86,Below Avg,Decreased
2011-Q4,Ceramic Cake Bowl + Hanging Cakes,313.08,407.81,-94.73,Below Avg,Decreased
2010-Q4,Ceramic Cake Design Spotted Mug,256.28,427.92,-171.64,Below Avg,First quarter
2011-Q1,Ceramic Cake Design Spotted Mug,850.13,427.92,422.21,Above Avg,Increased
2011-Q2,Ceramic Cake Design Spotted Mug,358.68,427.92,-69.24,Below Avg,Decreased
2011-Q3,Ceramic Cake Design Spotted Mug,294.83,427.92,-133.09,Below Avg,Decreased
2011-Q4,Ceramic Cake Design Spotted Mug,379.66,427.92,-48.26,Below Avg,Increased
2010-Q4,Ceramic Cake Design Spotted Plate,204.12,257.88,-53.76,Below Avg,First quarter
2011-Q1,Ceramic Cake Design Spotted Plate,354.49,257.88,96.61,Above Avg,Increased
2011-Q2,Ceramic Cake Design Spotted Plate,275.83,257.88,17.95,Above Avg,Decreased
2011-Q3,Ceramic Cake Design Spotted Plate,227.48,257.88,-30.4,Below Avg,Decreased
2011-Q4,Ceramic Cake Design Spotted Plate,227.47,257.88,-30.41,Below Avg,Decreased
2010-Q4,Ceramic Cake Stand + Hanging Cakes,758.91,961.32,-202.41,Below Avg,First quarter
2011-Q1,Ceramic Cake Stand + Hanging Cakes,1635.65,961.32,674.33,Above Avg,Increased
2011-Q2,Ceramic Cake Stand + Hanging Cakes,611.58,961.32,-349.74,Below Avg,Decreased
2011-Q3,Ceramic Cake Stand + Hanging Cakes,807.25,961.32,-154.07,Below Avg,Increased
2011-Q4,Ceramic Cake Stand + Hanging Cakes,993.2,961.32,31.88,Above Avg,Increased
2010-Q4,Ceramic Candle Holder,3.36,12.37,-9.01,Below Avg,First quarter
2011-Q1,Ceramic Candle Holder,13.16,12.37,0.79,Above Avg,Increased
2011-Q3,Ceramic Candle Holder,29.68,12.37,17.31,Above Avg,Increased
2011-Q4,Ceramic Candle Holder,3.29,12.37,-9.08,Below Avg,Decreased
2010-Q4,Ceramic Cherry Cake Money Bank,537.12,598.26,-61.14,Below Avg,First quarter
2011-Q1,Ceramic Cherry Cake Money Bank,623.03,598.26,24.77,Above Avg,Increased
2011-Q2,Ceramic Cherry Cake Money Bank,503.52,598.26,-94.74,Below Avg,Decreased
2011-Q3,Ceramic Cherry Cake Money Bank,626.55,598.26,28.29,Above Avg,Increased
2011-Q4,Ceramic Cherry Cake Money Bank,701.1,598.26,102.84,Above Avg,Increased
2010-Q4,Ceramic Heart Fairy Cake Money Bank,1001.45,937.06,64.39,Above Avg,First quarter
2011-Q1,Ceramic Heart Fairy Cake Money Bank,958.84,937.06,21.78,Above Avg,Decreased
2011-Q2,Ceramic Heart Fairy Cake Money Bank,690.53,937.06,-246.53,Below Avg,Decreased
2011-Q3,Ceramic Heart Fairy Cake Money Bank,798.93,937.06,-138.13,Below Avg,Increased
2011-Q4,Ceramic Heart Fairy Cake Money Bank,1235.54,937.06,298.48,Above Avg,Increased
2010-Q4,Ceramic Love Heart Money Bank,52.08,89.76,-37.68,Below Avg,First quarter
2011-Q1,Ceramic Love Heart Money Bank,252.42,89.76,162.66,Above Avg,Increased
2011-Q2,Ceramic Love Heart Money Bank,43.5,89.76,-46.26,Below Avg,Decreased
2011-Q3,Ceramic Love Heart Money Bank,15.28,89.76,-74.48,Below Avg,Decreased
2011-Q4,Ceramic Love Heart Money Bank,85.5,89.76,-4.26,Below Avg,Increased
2010-Q4,Ceramic Pirate Chest Money Bank,134.25,263.27,-129.02,Below Avg,First quarter
2011-Q1,Ceramic Pirate Chest Money Bank,270.25,263.27,6.98,Above Avg,Increased
2011-Q2,Ceramic Pirate Chest Money Bank,239.8,263.27,-23.47,Below Avg,Decreased
2011-Q3,Ceramic Pirate Chest Money Bank,220.06,263.27,-43.21,Below Avg,Decreased
2011-Q4,Ceramic Pirate Chest Money Bank,451.99,263.27,188.72,Above Avg,Increased
2010-Q4,Ceramic Plate Strawberry Design,59.6,119.28,-59.68,Below Avg,First quarter
2011-Q1,Ceramic Plate Strawberry Design,164.21,119.28,44.93,Above Avg,Increased
2011-Q2,Ceramic Plate Strawberry Design,101.68,119.28,-17.6,Below Avg,Decreased
2011-Q3,Ceramic Plate Strawberry Design,105.42,119.28,-13.86,Below Avg,Increased
2011-Q4,Ceramic Plate Strawberry Design,165.49,119.28,46.21,Above Avg,Increased
2010-Q4,Ceramic Strawberry Cake Money Bank,817.56,1128.45,-310.89,Below Avg,First quarter
2011-Q1,Ceramic Strawberry Cake Money Bank,1127.02,1128.45,-1.43,Below Avg,Increased
2011-Q2,Ceramic Strawberry Cake Money Bank,829.5,1128.45,-298.95,Below Avg,Decreased
2011-Q3,Ceramic Strawberry Cake Money Bank,1092.1,1128.45,-36.35,Below Avg,Increased
2011-Q4,Ceramic Strawberry Cake Money Bank,1776.09,1128.45,647.64,Above Avg,Increased
2010-Q4,Ceramic Strawberry Design Mug,309.26,409.16,-99.9,Below Avg,First quarter
2011-Q1,Ceramic Strawberry Design Mug,614.58,409.16,205.42,Above Avg,Increased
2011-Q2,Ceramic Strawberry Design Mug,475.21,409.16,66.05,Above Avg,Decreased
2011-Q3,Ceramic Strawberry Design Mug,180.35,409.16,-228.81,Below Avg,Decreased
2011-Q4,Ceramic Strawberry Design Mug,466.38,409.16,57.22,Above Avg,Increased
2010-Q4,Ceramic Strawberry Money Box,131.15,502.59,-371.44,Below Avg,First quarter
2011-Q1,Ceramic Strawberry Money Box,760.67,502.59,258.08,Above Avg,Increased
2011-Q2,Ceramic Strawberry Money Box,1458.31,502.59,955.72,Above Avg,Increased
2011-Q3,Ceramic Strawberry Money Box,152.64,502.59,-349.95,Below Avg,Decreased
2011-Q4,Ceramic Strawberry Money Box,10.2,502.59,-492.39,Below Avg,Decreased
2011-Q3,Chambre Hook,100.65,92.34,8.31,Above Avg,First quarter
2011-Q4,Chambre Hook,84.03,92.34,-8.31,Below Avg,Decreased
2010-Q4,Charlie & Lola Wastepaper Bin,131.49,434.58,-303.09,Below Avg,First quarter
2011-Q1,Charlie & Lola Wastepaper Bin,303.91,434.58,-130.67,Below Avg,Increased
2011-Q2,Charlie & Lola Wastepaper Bin,660.13,434.58,225.55,Above Avg,Increased
2011-Q3,Charlie & Lola Wastepaper Bin,556.21,434.58,121.63,Above Avg,Decreased
2011-Q4,Charlie & Lola Wastepaper Bin,521.17,434.58,86.59,Above Avg,Decreased
2010-Q4,Charlie+Lola Coaster Set,173.15,335.77,-162.62,Below Avg,First quarter
2011-Q1,Charlie+Lola Coaster Set,571.47,335.77,235.7,Above Avg,Increased
2011-Q2,Charlie+Lola Coaster Set,400.8,335.77,65.03,Above Avg,Decreased
2011-Q3,Charlie+Lola Coaster Set,172.11,335.77,-163.66,Below Avg,Decreased
2011-Q4,Charlie+Lola Coaster Set,361.32,335.77,25.55,Above Avg,Increased
2010-Q4,Charlie+Lola Personal Doorsign,76.58,162.71,-86.13,Below Avg,First quarter
2011-Q1,Charlie+Lola Personal Doorsign,-299.87,162.71,-462.58,Below Avg,Decreased
2011-Q2,Charlie+Lola Personal Doorsign,333.31,162.71,170.6,Above Avg,Increased
2011-Q3,Charlie+Lola Personal Doorsign,398.58,162.71,235.87,Above Avg,Increased
2011-Q4,Charlie+Lola Personal Doorsign,304.95,162.71,142.24,Above Avg,Decreased
